Date,Median_Price,Brent_Oil_Price,USD_INR_Exchange,VAR_Predicted,XGBoost_Predicted
2019-03-01,23533.0,65.06999969482422,70.81600189208984,,
2019-03-03,14973.0,65.06999969482422,70.81600189208984,,
2019-03-06,15078.0,65.98999786376953,70.74250030517578,,
2019-03-09,13843.0,65.73999786376953,70.48750305175781,,
2019-03-15,5784.5,67.16000366210938,69.3373031616211,,
2019-03-18,5496.0,67.54000091552734,68.9530029296875,,
2019-03-21,8601.0,67.86000061035156,68.82499694824219,,
2019-03-24,8635.0,67.02999877929688,68.93000030517578,,
2019-03-27,7438.0,67.83000183105469,69.42749786376953,,
2019-04-01,5170.5,69.01000213623047,69.43000030517578,,
2019-04-03,5047.5,69.30999755859375,68.91020202636719,,
2019-04-06,5135.0,70.33999633789062,68.97039794921875,,
2019-04-09,8187.5,70.61000061035156,69.55249786376953,,
2019-04-15,6054.5,71.18000030517578,69.16100311279297,,
2019-04-18,6094.0,71.97000122070312,69.4010009765625,,
2019-04-21,6745.0,71.97000122070312,69.38099670410156,,
2019-04-24,5583.0,74.56999969482422,69.75800323486328,,
2019-04-27,6216.0,72.1500015258789,70.16000366210938,,
2019-05-01,9794.0,72.18000030517578,69.55599975585938,,
2019-05-06,10407.0,71.23999786376953,69.16799926757812,,
2019-05-09,12373.0,70.38999938964844,70.01000213623047,,
2019-05-12,6216.0,70.62000274658203,70.41000366210938,,
2019-05-15,8266.0,71.7699966430664,70.30699920654297,,
2019-05-18,11307.0,72.20999908447266,70.23500061035156,,
2019-05-21,11806.0,72.18000030517578,70.12750244140625,,
2019-05-24,9929.0,68.69000244140625,69.94499969482422,,
2019-05-27,10486.0,68.69000244140625,69.36000061035156,,
2019-06-01,10299.0,64.48999786376953,69.9800033569336,,
2019-06-03,10262.0,61.27999877929688,69.5696029663086,,
2019-06-06,10262.0,61.66999816894531,69.625,12301.585261276912,
2019-06-09,10262.0,63.290000915527344,69.36000061035156,17548.854626687535,
2019-06-12,10262.0,59.970001220703125,69.3864974975586,14969.4491199151,
2019-06-15,10262.0,62.0099983215332,69.80000305175781,11275.852429363651,10229.495
2019-06-18,5201.0,62.13999938964844,70.11250305175781,10207.689481868938,10503.365
2019-06-21,5303.5,65.19999694824219,69.77999877929688,10278.394110835165,10264.175
2019-06-24,10262.0,64.86000061035156,69.56990051269531,14264.28190289115,10477.684
2019-06-27,10262.0,66.55000305175781,69.60250091552734,18604.633215432263,10205.117
