horizon,response_oil,response_fx,cumulative_oil,cumulative_fx
0,0.0,0.0,0.0,0.0
1,-126.75842322879086,167.54777038365881,-126.75842322879086,167.54777038365881
2,-716.104865013351,3726.0874002831183,-842.8632882421418,3893.635170666777
3,-238.35426797945263,2304.013977414754,-1081.2175562215944,6197.649148081531
4,963.6886668491774,-3034.049140495463,-117.52888937241698,3163.6000075860684
5,751.8589485351318,-9400.192713091592,634.3300591627149,-6236.592705505524
6,88.05803195773512,7086.9555455052105,722.38809112045,850.3628399996869
7,1381.032331881089,-2185.903659817919,2103.420423001539,-1335.5408198182322
8,-419.12512958503066,-1661.9882918387652,1684.2952934165082,-2997.5291116569974
9,-780.6784200737095,-661.4962455394605,903.6168733427987,-3659.0253571964577
10,-2315.869709060765,5095.427594498347,-1412.2528357179665,1436.4022373018897
11,-232.41896600313294,2621.1666738652743,-1644.6718017210994,4057.568911167164
12,-188.82943171414604,888.0003457860176,-1833.5012334352455,4945.569256953182
13,1892.8892769041531,-1901.113818344811,59.388043468907654,3044.455438608371
14,2202.7991177986755,777.1112966445237,2262.187161267583,3821.5667352528944
15,3832.339956598025,-17891.96337120026,6094.527117865608,-14070.396635947367
